Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site,Release_Date_Formatted,release years,Netflix release years,Netflix Release Years
Growing Up Smith,"Comedy, Drama, Family","Comedies,US Movies,Dramas,Family Comedies,Children & Family Movies",English,Movie,8.0,India,1-2 hour,Frank Lotito,"Paul Quinn, Anjul Nigam, Gregory Scott Houghton","Brighton Sharbino, Jason Lee, Anjul Nigam, Hilarie Burton",PG-13,6.8,73.0,73.0,5.0,8.0,35312.0,2017-02-03,2019-08-15,Good Deed Entertainment,https://www.netflix.com/watch/80155627,https://www.imdb.com/title/tt1105355,"In 1970s suburbia, a young boy tries to balance his Indian family’s expectations with his love for American pop culture -- and an American girl.",1101.0,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABU6hCl9nIzl_LiZ7NQLhB6F4wzZbb1pMzwfw2jbkFw124MnzAhb44OIYY5nTU-WIamBGXlCphR3oe2dD5olBbFuqwQ.jpg?r=ba0,https://m.media-amazon.com/images/M/MV5BOWI0MmZmN2MtMzczMy00Y2NlLWE2MzgtMWM0YTlmY2Y5MTczXkEyXkFqcGdeQXVyMDExMDMxOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=KTmHUA4q0wE,YouTube,02-03-2017,2017,2019,2019
Belle and Sebastian,"Adventure, Family","TV Cartoons,Animal Tales,Kids TV,TV Shows based on Books,Canadian TV Shows","French, Italian",Series,7.7,"Romania,France,Lithuania,Belgium,Hungary,Czech Republic,Italy,Poland,Greece,Slovakia",< 30 minutes,Clovis Cornillac,"Juliette Sales, Fabien Suarez","Clovis Cornillac, Tchéky Karyo, Félix Bossuet, Thierry Neuvic",TV-PG,6.3,56.0,56.0,No Awards,1.0,105890.0,2018-02-14,2019-08-14,"Radar Films, Gaumont",https://www.netflix.com/watch/81130809,https://www.imdb.com/title/tt6449336,"In the Alps, a courageous boy, Sebastian, and his giant but gentle dog, Belle, stumble upon adventure while searching for his long-lost mother.",603.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeux5SaGc3jkOlcy8d7s61AFIrxIL8fpfeELF7VEeM_dQRoccIaJ01UvewRQmhcZPvIZyDRpjwlaL0gLq1nxUih5Lg.jpg?r=134,https://m.media-amazon.com/images/M/MV5BNjhhOWMxNTYtY2NmNi00NWYyLTljZTUtMmNmZGIzYzNlMGM3XkEyXkFqcGdeQXVyNTg4ODkzODA@._V1_SX300.jpg,https://www.youtube.com/watch?v=lsHJK0bgyRw,YouTube,02-14-2018,2018,2019,2019
Fahrenheit 11/9,Documentary,"Social & Cultural Docs,Political Documentaries,Documentaries,Documentaries,US Movies",English,Movie,3.7,Japan,> 2 hrs,Michael Moore,Michael Moore,"Roger Ailes, Jim Acosta, Brooke Baldwin, Ashleigh Banfield",R,7.0,82.0,69.0,3.0,6.0,6352306.0,2018-09-21,2019-08-07,"Dog Eat Dog Films, State Run Films, Midwestern Films",https://www.netflix.com/watch/81014833,https://www.imdb.com/title/tt8632862,"In this provocative documentary, director Michael Moore examines the impact of Donald Trumps presidency and seeks a political escape plan.",18156.0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVJ2RTHLSAbdbsAR1obRMV3lAJ5ALfrk_KqIMntNXlFv84wxhbEeuJQjur1XPLIX8vQn_ch5Sb4U8hGDQ164-zqlIQ.jpg?r=64d,https://m.media-amazon.com/images/M/MV5BMjE4NDYxNTk4MV5BMl5BanBnXkFtZTgwNTE1MDMxNjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=WRQv9xMQ3E0,YouTube,09-21-2018,2018,2019,2019
Badla,"Crime, Drama, Mystery, Thriller","Hindi-Language Movies,Bollywood Movies,Mysteries,Psychological Thrillers,Thrillers,Indian Movies,International Thrillers,Crime Thrillers,Crime Movies",Hindi,Movie,3.4,"Switzerland,Australia,Hong Kong,France,Russia,Singapore,India,Slovakia,Germany,Lithuania,Thailand,Iceland,United Kingdom,Canada,South Africa,Mexico,Czech Republic,Belgium,Argentina,Romania,Hungary,Turkey,Greece,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,Sujoy Ghosh,"Oriol Paulo, Raj Vasant, Sujoy Ghosh","Amrita Singh, Antonio Aakeel, Taapsee Pannu, Amitabh Bachchan",Not Rated,7.8,60.0,60.0,2.0,9.0,1861000.0,2019-03-08,2019-08-07,"Red Chillies Entertainment, Universal Entertainment",https://www.netflix.com/watch/81112446,https://www.imdb.com/title/tt8130968,"When a woman is accused of killing her lover, a renowned lawyer is hired -- but the more they try to  untangle the truth, the more convoluted it becomes.",22540.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXBN1xO5idE9dQJvPFSlx8IeRDluapO0eukIIMZ2rph1KoUPrkeDq0PVc8DxDFlcQjHtoY0OePVKCI6MYLRtpl9LYQ.jpg?r=946,https://m.media-amazon.com/images/M/MV5BYjZiMzIzYTctNDViZi00OWNmLWFmN2YtMmI2OWJiZWViMmY3XkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=mSlgu8AQAd4,YouTube,03-08-2019,2019,2019,2019
Screwball,Documentary,"Sports Documentaries,Documentaries",English,Movie,8.3,"Switzerland,Thailand,Australia,France,Czech Republic,Poland,Japan,South Korea,Hong Kong,Russia,Netherlands,Sweden,Israel,Singapore,Greece,Romania,United States,Iceland,Hungary,India,Germany,Lithuania,Brazil,Spain,United Kingdom,Canada,Slovakia,South Africa,Mexico,Portugal,Belgium,Argentina,Italy,Turkey,Malaysia,Colombia",1-2 hour,Billy Corben,"Billy Corben, David Cypkin","Bryan Blanco, Frankie Diaz, Ian Mackles, Samuel Kai Taylor",No View Rating,7.1,94.0,72.0,2.0,1.0,13967.0,2019-03-29,2019-08-05,Rakontur,https://www.netflix.com/watch/81047680,https://www.imdb.com/title/tt8819596,A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.,1284.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcILVUszXQDmk9ijDgeYFRnyiAK6MhUokRannMLF4SmDyujR8p2HhCdJjEDrgWsAh-FKTJvIXUwws7w47ZOYvuHIpw.jpg?r=1d3,https://m.media-amazon.com/images/M/MV5BNGJiZTE0ZWEtN2UxMi00YTdjLWI4MDYtMGQzYWVkODY0YjNiXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=XJUhgT65r8M,YouTube,03-29-2019,2019,2019,2019
Mollys Game,"Biography, Crime, Drama","Gangster Movies,Biographical Movies,Crime Dramas,Dramas,Movies Based on Real Life,Movies based on Books,Crime Movies",English,Movie,3.8,"Sweden,Japan,Hong Kong,Spain,United States,Netherlands,Canada,South Korea",> 2 hrs,Aaron Sorkin,"Molly Bloom, Aaron Sorkin","Idris Elba, Kevin Costner, Jessica Chastain, Michael Cera",R,7.4,81.0,71.0,7.0,51.0,28780744.0,2018-01-05,2019-08-05,"Pascal Pictures, The Mark Gordon Company",https://www.netflix.com/watch/80199959,https://www.imdb.com/title/tt4209788,Former Olympian Molly Bloom ran a high-stakes poker game for the stars -- until her lofty lifestyle nearly sent her to prison.,144355.0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR-UZdR5da0YriFwzYqaYSndBqsyU4dHCjkl4V3DJiyJ-NIIyo7JeplSQib3pDD696VRrevESEN-kGJqNEyv8awaPA.jpg?r=6a5,https://m.media-amazon.com/images/M/MV5BNTkzMzRlYjEtMTQ5Yi00OWY3LWI0NzYtNGQ4ZDkzZTU0M2IwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=Vu4UPet8Nyc,YouTube,01-05-2018,2018,2019,2019
A Star Is Born,"Drama, Music, Romance","Dramas,Romantic Movies,Tearjerkers,Romantic Dramas,Rock & Pop Concerts,Music & Musicals,Award-winning Dramas,Romantic Favorites,US Movies",English,Movie,4.2,"Canada,Thailand,Hong Kong,Spain,Singapore,India,Malaysia,Turkey,Italy,Switzerland",> 2 hrs,Bradley Cooper,"Joan Didion, Moss Hart, Will Fetters, John Gregory Dunne, Eric Roth, Frank Pierson, Robert Carson, William A. Wellman, Bradley Cooper","Sam Elliott, Bradley Cooper, Andrew Dice Clay, Lady Gaga",R,7.6,90.0,88.0,95.0,272.0,215288866.0,2018-10-05,2019-08-03,Jon Peters/Bill Gerber/Joint Effort Production,https://www.netflix.com/watch/80221908,https://www.imdb.com/title/tt1517451,"When an aspiring singer develops a passionate relationship with a seasoned musician, her career begins to soar as his vices trigger a downward spiral.",335490.0,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRoY8SwBUfoyuz0krJXpHgr17xl3a9pF0oIqab2svRi5PF2x3vecu_xZO5_rmpHTJ7mC55mN_sr9xYNa1gM5rixy6g.jpg?r=f44,https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=nSbzyEJ8X9E,YouTube,10-05-2018,2018,2019,2019
Now and Then,"Comedy, Drama, Romance",Dramas,English,Movie,2.5,Australia,1-2 hour,Lesli Linka Glatter,I. Marlene King,"Thora Birch, Rosie O'Donnell, Melanie Griffith, Christina Ricci",PG-13,6.8,32.0,50.0,No Awards,1.0,27112329.0,1995-10-20,2019-08-01,"New Line Cinema, Moving Pictures",https://www.netflix.com/watch/22469949,https://www.imdb.com/title/tt0114011,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends recall the magical summer of 1970.",27111.0,http://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZk59IfuDED3-_whHzeKQdnjX7JifuBRo6QtQi2I1olulYshiuY5orwZr1MtFgw3Y9mKFZZU_kForbugR_dX6IM71A.jpg?r=b62,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=RQLVzTtt2Ws,YouTube,10-20-1995,1995,2019,2019
The Mercy,"Adventure, Biography, Drama, Mystery","British Movies,Biographical Movies,Dramas,Sports Movies,Sports Dramas,Movies Based on Real Life,Historical Dramas","English, Spanish",Movie,4.5,"Romania,Hungary,Belgium,Czech Republic,Slovakia",1-2 hour,James Marsh,Scott Z. Burns,"Zara Prassinot, Colin Firth, Eleanor Stagg, Rachel Weisz",Not Rated,6.0,74.0,60.0,1.0,Not nominated,29538.0,2017-11-28,2019-08-01,"Screen Media Ventures, Blueprint Pictures, StudioCanal, BBC Films, Galatée Films",https://www.netflix.com/watch/81041374,https://www.imdb.com/title/tt3319730,"Facing financial ruin, an amateur sailor falsely competes in the 1968 Golden Globe Race and opts for a solo voyage that sends him on a downward spiral.",7427.0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWZWO2GuErPDZNDxxfuL5eqFaIvmwCAit6ljQIOpZyVJHxRGwWifO5MARkSkQiWBabOF2j9bq3yt12CIjxCrF9B2kA.jpg?r=0cb,https://m.media-amazon.com/images/M/MV5BMjEzODQ5NjA3OF5BMl5BanBnXkFtZTgwMzI4MjkxNDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=ToN2G3K5pOE,YouTube,11-28-2017,2017,2019,2019
The Rider,"Drama, Western","Westerns,Critically Acclaimed Movies,Independent Movies,Dramas,Critically Acclaimed Dramas,Critically-acclaimed Independent Movies","English, Spanish, Sioux",Movie,4.4,"Japan,Australia",1-2 hour,Chloé Zhao,Chloé Zhao,"Lilly Jandreau, Tim Jandreau, Mooney, Brady Jandreau",R,7.4,97.0,92.0,24.0,44.0,2419031.0,2018-04-13,2019-08-01,"Caviar, Highwayman Films",https://www.netflix.com/watch/80194284,https://www.imdb.com/title/tt6217608,"After a near-fatal fall, a cowboy is hesitant to walk away from his rodeo-riding days, even if it means risking his life.",14277.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABagcW9teVs2i9gOnOJsj69v6KnUK8dTGKLnlGAbRduIlr1BeUY90svU57UOVCH38lJuhu-1wT5YwYUT7G7gsNUdc2g.jpg?r=298,https://m.media-amazon.com/images/M/MV5BMjQ3ODM5MjY2N15BMl5BanBnXkFtZTgwOTU5MjM4NDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=fl3eZkQs0Lk,YouTube,04-13-2018,2018,2019,2019
Sorry to Bother You,"Comedy, Fantasy, Sci-Fi","Independent Movies,Comedies,Dark Comedies,Sci-Fi & Fantasy,Satires,US Movies",English,Movie,4.0,"Russia,India,United Kingdom,Israel,Greece,Turkey,Thailand,Singapore,Malaysia,Hong Kong,Canada,Poland,Czech Republic,Hungary,Romania,South Korea",1-2 hour,Boots Riley,Boots Riley,"LaKeith Stanfield, Jermaine Fowler, Tessa Thompson, Omari Hardwick",R,6.9,93.0,80.0,20.0,56.0,17493096.0,2018-07-13,2019-08-01,Significant Prods.,https://www.netflix.com/watch/80240589,https://www.imdb.com/title/tt5688932,"After heeding a co-workers advice, a telemarketer easily climbs up the corporate ladder -- until success lands him in corporate and moral chaos.",64400.0,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV929u2-_YfLf-a_WUhpRZK5wU-p9JnDC0PtgwBKEicG5kVRSoNZCfYuGN2MrO66Ouvd8FVeEmenivM8ISJ7C-Ktcg.jpg?r=d4c,https://m.media-amazon.com/images/M/MV5BNjgwMmI4YzUtZGI2Mi00M2MwLWIyMmMtZWYzMWZmNzAyNmYwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=enH3xA4mYcY,YouTube,07-13-2018,2018,2019,2019
Overlord,"Action, Adventure, Horror, Sci-Fi, War","Horror Movies,Action & Adventure,Gory Horror Movies,Military Action & Adventure,20th-Century Period Pieces,US Movies","English, German, French",Movie,3.4,"Hungary,Portugal,Belgium,India,South Africa,United Kingdom,Hong Kong,Thailand,Netherlands,Spain,Czech Republic,Israel,Italy,Australia,Poland,Singapore,Malaysia,Slovakia,South Korea,Romania",1-2 hour,Julius Avery,"Mark L. Smith, Billy Ray","Wyatt Russell, Jovan Adepo, Pilou Asbæk, Mathilde Ollivier",R,6.6,81.0,60.0,2.0,6.0,21704844.0,2018-11-09,2019-08-01,Bad Robot,https://www.netflix.com/watch/80994132,https://www.imdb.com/title/tt4530422,"On the eve of D-Day, several American G.I.s embark on a mission behind enemy lines and uncover a supernatural secret beyond their worst nightmares.",86657.0,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTId_pXX63LyNnvBXPe-Q0Te6W3461m5QpqhqDLDZy31vRQenXPUYkkOzm0kVG59TjjeQW1krFsZfti4iDVgVSvwvA.jpg?r=306,https://m.media-amazon.com/images/M/MV5BYTUzYmJlNDgtMzM2ZS00N2ZkLWJjY2ItNzM0ZmVjMWU5OTA3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SX300.jpg,https://www.youtube.com/watch?v=USPd0vX2sdc,YouTube,11-09-2018,2018,2019,2019
The Salesman,Drama,"Crime Dramas,Dramas,Thrillers,Crime Thrillers,Psychological Thrillers,Middle Eastern Movies","Persian, English",Movie,4.3,South Korea,> 2 hrs,Asghar Farhadi,Asghar Farhadi,"Mina Sadati, Shahab Hosseini, Babak Karimi, Taraneh Alidoosti",PG-13,7.8,96.0,85.0,13.0,27.0,2402067.0,2016-08-31,2019-08-01,"Doha Film Institute, Memento Films, Arte France Cinema, Asghar Farhadi",https://www.netflix.com/watch/80114001,https://www.imdb.com/title/tt5186714,"A wrongdoing upends the lives of married theater actors Rana and Emad, whose pursuit of the perpetrator leads him down a vengeful, ruinous path.",51778.0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ4KsqhRmm43iPqO6aGzVrxGYffnA6J3u3jtrnCJy5sWb0YGOxeTxNh-HCdjPZHJNtkT5XYThNX2DdyEFmN32k46Uw.jpg?r=e44,https://m.media-amazon.com/images/M/MV5BMTg2MTc0ODEwOV5BMl5BanBnXkFtZTgwNDAyOTY1MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=r-61yYjKHHc,YouTube,08-31-2016,2016,2019,2019
On Wings of Eagles,"Drama, History, Sport, War","Movies Based on Real Life,Biographical Movies,Chinese Movies,Historical Movies,Dramas,Historical Dramas","English, Mandarin, Japanese",Movie,7.6,Poland,1-2 hour,"Michael Parker, Stephen Shin","Rubby Xu, Michael Parker, Stephen Shin, Christopher C. Chan","Jesse Kove, Joseph Fiennes, Shawn Dou, Bruce Locke",PG-13,5.6,62.0,62.0,No Awards,Not nominated,5975.0,2017-11-03,2019-08-01,"Goodland Pictures, BondIt, Innowave Limited",https://www.netflix.com/watch/80221260,https://www.imdb.com/title/tt4714896,"During World War II in China, a Christian Olympic runner Eric Liddell finds himself in a fight for his life as a prisoner of war.",798.0,https://occ-0-2506-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeOy4dmhsivkf-vB3L89FpvkCLZkfDgHGpU4B9KuZw50eIS2gemhdNtnBarPQMdhgNrQudlC9UhE_3FXbbaQpRbWfA.jpg?r=63b,https://m.media-amazon.com/images/M/MV5BYjAzZTljYTQtOGM3Yy00NWIxLTllODItYzY1MDM3NzFhZTQzXkEyXkFqcGdeQXVyMTg5MzcwNw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=hH2ISISHNv0,YouTube,11-03-2017,2017,2019,2019
I Still Know What You Did Last Summer,"Horror, Mystery","Horror Movies,Slasher & Serial Killer Movies",English,Movie,1.2,"Thailand,Singapore,Hong Kong",1-2 hour,Danny Cannon,"Lois Duncan, Trey Callaway","Freddie Prinze Jr., Mekhi Phifer, Brandy Norwood, Jennifer Love Hewitt",R,4.7,7.0,21.0,5.0,7.0,40002112.0,1998-11-13,2019-08-01,Mandalay Entertainment,https://www.netflix.com/watch/18021616,https://www.imdb.com/title/tt0130018,"In this chilling sequel, unfinished business with coed Julie James brings a murderer to the Bahamas to terrorize her and her friends during vacation.",68964.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeErcJ5eehaeyNpbWJKQaeW4BE4pRnkAlbVsk_9jXqxBggJAPop-28kEqpDinPWkTo-UcyIy8Ovg_EnYMzJrly-Quw.jpg?r=082,https://m.media-amazon.com/images/M/MV5BYTgwZmFkZmQtZTVjNC00ZTU4LWI4NjItYzdhYTg1ZjkyODZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=99yCJwP97Uo,YouTube,11-13-1998,1998,2019,2019
Bumblebee,"Action, Adventure, Sci-Fi","Adventures,Blockbuster Action & Adventure,Action Sci-Fi & Fantasy,Action & Adventure,Sci-Fi & Fantasy,Sci-Fi Adventure,Critically-acclaimed Action & Adventure,Critically Acclaimed Films,Critically-acclaimed Sci-Fi & Fantasy,US Movies",English,Movie,3.8,"South Korea,Hungary,South Africa,Hong Kong,Canada,Thailand,Belgium,Czech Republic,Netherlands,Spain,Portugal,Israel,Italy,Australia,Poland,Singapore,India,Greece,Malaysia,Slovakia,Turkey,United Kingdom,Romania",1-2 hour,Travis Knight,Christina Hodson,"Jorge Lendeborg Jr., John Cena, Jason Drucker, Hailee Steinfeld",PG-13,6.8,91.0,66.0,2.0,13.0,127195589.0,2018-12-21,2019-08-01,"Tencent Pictures, Di Bonaventura Pictures, Bay Films, Tom DeSanto/Don Murphy, Allspark Pictures",https://www.netflix.com/watch/81004276,https://www.imdb.com/title/tt4701182,"Fleeing from the Decepticons in 1987, Bumblebee hides out on Earth. But after he befriends a sad teen, the battered Beetle’s foes are hot on his trail.",139552.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRqSfh3BioXzhLs-p5Lgst6EmHk6IQ2oSNU7ataF7qsEcuxu_H-zQtDyNd2cgCF93J0l71A-ylCNy255RbdqfB0AZA.jpg?r=22e,https://m.media-amazon.com/images/M/MV5BMjUwNjU5NDMyNF5BMl5BanBnXkFtZTgwNzgxNjM2NzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=fAIX12F6958,YouTube,12-21-2018,2018,2019,2019
Are We Done Yet?,"Comedy, Family, Fantasy","Dramas,Middle Eastern Movies,Comedies,International Dramas,International Comedies",English,Movie,1.4,"Australia,Portugal,Singapore,South Korea,France,Japan,Russia,Hong Kong,Poland,Netherlands,Sweden,Thailand,Italy,Iceland,India,Switzerland,Romania,Lithuania,Germany,Brazil,Belgium,Hungary,Israel,Spain,Slovakia,United Kingdom,Greece,Czech Republic,Canada,South Africa,United States,Argentina,Mexico,Turkey,Malaysia,Colombia",1-2 hour,Steve Carr,"Hank Nelken, Steven Gary Banks, Claudia Grazioso, Norman Panama, Melvin Frank","Nia Long, John C. McGinley, Ice Cube, Aleisha Allen",PG,4.3,8.0,36.0,No Awards,3.0,49662533.0,2007-04-04,2019-08-01,"Revolution Studios, RKO Pictures, Cubevision",https://www.netflix.com/watch/81065784,https://www.imdb.com/title/tt0422774,"When authorities arrest his young son, a taxi driver must convince the courts and rabid media that hes not the criminal they seek.",19712.0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfTnZ3HzBsenex-Z-tamQlzr3PMjv2j2SQPTtFATeHHTArNsc9pKNKbYnLkgxlw4P_ipG0YJPdYnimSeu4ugQs-D3g.jpg?r=37d,https://m.media-amazon.com/images/M/MV5BMTIwMDQyNjQzNl5BMl5BanBnXkFtZTcwMjEwODI0MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Op8AlTe5Js8,YouTube,04-04-2007,2007,2019,2019
Tomorrow When the War Began,"Action, Adventure, Drama","TV Dramas,Teen TV Shows,US TV Shows,TV Shows Based on Books",English,Series,3.0,Australia,< 30 minutes,Stuart Beattie,"Stuart Beattie, John Marsden","Rachel Hurd-Wood, Caitlin Stasey, Deniz Akdeniz, Lincoln Lewis",R,6.2,64.0,54.0,8.0,14.0,4936.0,2012-02-24,2019-07-27,"Ambience Entertainment, Omnilab Media",https://www.netflix.com/watch/80987518,https://www.imdb.com/title/tt1456941,A group of teens becomes guerrilla fighters after returning from a remote camping trip to find their country at war.,30259.0,https://occ-0-753-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ2sh1n3K_MkZRrC0LoKAnbgiON0qaIfFYCqjMnSzZyp3VFcR3-HlO6KqJ6MvKbar-nDaLdvKdxJTjRpzE1px-6mbw.jpg?r=3ee,https://m.media-amazon.com/images/M/MV5BMTk2MDMyNjUwOF5BMl5BanBnXkFtZTcwMjYzNjg1Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=9KaX0F8GojI,YouTube,02-24-2012,2012,2019,2019
Papillon,"Adventure, Biography, Crime, Drama","Crime Movies,Crime Thrillers,Thrillers,Dramas,Movies based on Books,Crime Dramas,Movies Based on Real Life,Biographical Movies","English, Spanish",Movie,2.9,"Canada,Belgium,Hungary,Japan,Czech Republic,Netherlands,Romania",> 2 hrs,Michael Noer,"Henri Charrière, Dalton Trumbo, Lorenzo Semple Jr., Aaron Guzikowski","Christopher Fairbank, Jason Ryan, Charlie Hunnam, Damijan Oklopdzic",R,7.2,52.0,51.0,No Awards,Not nominated,2335896.0,2018-08-24,2019-07-27,"Ram Bergman, FishCorb Films, Joey McFarland",https://www.netflix.com/watch/80235276,https://www.imdb.com/title/tt5093026,"Framed and condemned to a penal colony in French Guiana, a safecracker bonds with a counterfeiter and fellow prisoner in a dangerous quest for freedom.",56352.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ7zHYiloVk2J66saZxACRnb1mzIHKdXCFOnoFtXTbc4gW2HdkHmegYp1hmSv3UJC-dkWwacsnrDUufWWYxAMaaGNQ.jpg?r=8c0,https://m.media-amazon.com/images/M/MV5BMjIxMTMyOTE2NF5BMl5BanBnXkFtZTgwMDYyNzY1NTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=xqj7XOv9mC8,YouTube,08-24-2018,2018,2019,2019
Anna and the Apocalypse,"Comedy, Horror, Musical","Dark Comedies,British Movies,Musicals,Comedies,Horror Movies,Teen Screams,Zombie Horror Movies,Music & Musicals,Horror Comedies",English,Movie,3.3,"Belgium,Canada,United Kingdom",1-2 hour,John McPhail,"Ryan McHenry, Alan McDonald","Sarah Swire, Malcolm Cumming, Ella Hunt, Christopher Leveaux",R,6.0,77.0,63.0,9.0,12.0,545597.0,2018-11-30,2019-07-26,"Blazing Griffin, Creative Scotland, Parkhouse Pictures",https://www.netflix.com/watch/80217141,https://www.imdb.com/title/tt6433880,"A group of teens stabs, slashes and sings their way through a zombie apocalypse, desperately trying to survive to the next musical number.",10595.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT8GzR3Pep3TKkSqSLrZBNqpU1gpCNPOJ_Hu_f3pgAKNJi6HO472qF2hhYVGhZNbQYgMh3ZfecfFtcWJjf0A0M1iDQ.jpg?r=9e1,https://m.media-amazon.com/images/M/MV5BMTU4NTM4NDQyNV5BMl5BanBnXkFtZTgwMjY0NTI0NjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=dfWIfwKJ7vA,YouTube,11-30-2018,2018,2019,2019
